"country","state","city","zip_code","lat_long","latitude","longitude","gender","senior_citizen","partner","dependents","tenure_months","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_billing","payment_method","monthly_charges","total_charges","churn_label"
"United States","California","Somerset",95684,"38.606703, -120.586659","38.606703","-120.586659","Female","No","No","Yes",12,"Yes","No","Fiber optic","No","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","18.57","399.14","No"
"United States","California","Somerset",95684,"38.606703, -120.586659","38.606703","-120.586659","Female","No","No","Yes",12,"Yes","No","Fiber optic","No","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","18.57","399.14","No"
"United States","California","El Segundo",90245,"33.917145, -118.401554","33.917145","-118.401554","Male","No","No","No",26,"Yes","No","No","No internet service","No","No internet service","Yes","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","87.02","1910.24","No"
"United States","California","Chester",96020,"40.243494, -121.154733","40.243494","-121.154733","Male","No","Yes","No",54,"Yes","No","No","No","No","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","20.66","2221.83","No"
"United States","California","Chester",96020,"40.243494, -121.154733","40.243494","-121.154733","Male","No","Yes","No",54,"Yes","No","No","No","No","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","20.66","2221.83","No"
"United States","California","Oakland",94606,"37.792489, -122.244314","37.792489","-122.244314","Male","Yes","Yes","Yes",32,"Yes","No","No","No internet service","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check","38.68","2060.03","No"
"United States","California","Gardena",90247,"33.890853, -118.297967","33.890853","-118.297967","Male","No","No","Yes",19,"No","Yes","Fiber optic","No internet service","No internet service","Yes","No internet service","No internet service","No internet service","Two year","Yes","Mailed check","18.25","24.57","No"
"United States","California","Woodland Hills",91367,"34.178068, -118.615714","34.178068","-118.615714","Female","No","No","No",52,"No","Yes","Fiber optic","No internet service","No internet service","No","Yes","No","Yes","Month-to-month","No","Electronic check","20.93","234.48","No"
"United States","California","Gardena",90247,"33.890853, -118.297967","33.890853","-118.297967","Male","No","No","Yes",19,"No","Yes","Fiber optic","No internet service","No internet service","Yes","No internet service","No internet service","No internet service","Two year","Yes","Mailed check","18.25","24.57","No"
"United States","California","Fallbrook",92028,"33.362575, -117.299644","33.362575","-117.299644","Female","No","No","No",38,"No","Yes","Fiber optic","No internet service","No internet service","Yes","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)","25.46","328.45","No"
"United States","California","Woodland Hills",91367,"34.178068, -118.615714","34.178068","-118.615714","Female","No","No","No",52,"No","Yes","Fiber optic","No internet service","No internet service","No","Yes","No","Yes","Month-to-month","No","Electronic check","20.93","234.48","No"
"United States","California","Oakland",94609,"37.834341, -122.26437","37.834341","-122.26437","Female","Yes","Yes","Yes",18,"No","No phone service","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)","94.79","2747.22","No"
